Het\Gen	4	8	16	32	64	128	256	512	
0	NA	NA	NA	NA	-0.046	NA	NA	NA	
1	NA	NA	NA	NA	-0.075	0.033	NA	-0.027	
10	NA	NA	NA	NA	NA	-0.129	-0.173	-0.098	
25	NA	NA	NA	NA	-0.143	-0.182	-0.194	-0.235	
50	NA	NA	-0.707	-0.154	-0.234	-0.219	-0.248	-0.275	
80	NA	NA	NA	-0.348	-0.311	-0.276	-0.199	-0.189	
100	NA	NA	NA	-0.198	-0.147	-0.228	-0.205	-0.262	
