Het\Gen	4	8	16	32	64	128	256	512	
0	NA	NA	NA	0.335	NA	NA	NA	NA	
1	NA	NA	NA	NA	NA	NA	NA	NA	
10	NA	NA	NA	NA	-0.074	-0.069	-0.092	-0.177	
25	NA	NA	NA	-0.133	-0.116	-0.126	-0.102	-0.252	
50	NA	0.309	0.816	NA	-0.217	-0.141	-0.239	-0.2	
80	NA	NA	NA	-0.136	-0.19	-0.183	-0.128	-0.151	
100	NA	-0.624	-0.492	-0.113	-0.13	-0.13	-0.099	-0.227	
